uid	srcuid	trguid	srcname	srctype	trgname	trgtype	trgval	type	pmids	nls
37292	16475	19646	gefitinib	Compound	ANXA8L2	mRNA	1	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
37389	16475	 9189	gefitinib	Compound	MMP2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
37983	16475	10890	gefitinib	Compound	NFE2L1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
38245	16475	15340	gefitinib	Compound	TMEM50B	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
38732	16475	18764	gefitinib	Compound	AKT1	mRNA	1	-1	17908981	Table 4.  Increases (>2.0) and decreases (<0.5) in gene expression following exposure to gefitinib (500 mg/d)
38745	16475	 8342	gefitinib	Compound	HSF2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
   39	16475	11396	gefitinib	Compound	CCNA2	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
39142	16475	12551	gefitinib	Compound	MED16	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
39218	16475	 7376	gefitinib	Compound	TNFSF10	mRNA	-1	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
39309	16475	13799	gefitinib	Compound	SMARCA5	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
39474	16475	14512	gefitinib	Compound	KRT19	mRNA	0	1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
39486	16475	15804	gefitinib	Compound	COL4A3BP	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
40064	16475	 4781	gefitinib	Compound	ARX	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
40098	16475	10705	gefitinib	Compound	MRVI1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
40304	16475	20181	gefitinib	Compound	ZNF529	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
40646	16475	11291	gefitinib	Compound	NXPH1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
41093	16475	11896	gefitinib	Compound	MCM5	mRNA	1	-1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
41264	16475	  449	gefitinib	Compound	CCS	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
42435	16475	 5089	gefitinib	Compound	C20orf4	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
42648	16475	 5382	gefitinib	Compound	OAT	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
42691	16475	10589	gefitinib	Compound	HDAC2	mRNA	-1	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
43024	16475	16897	gefitinib	Compound	ITGB5	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
43094	16475	 9701	gefitinib	Compound	CA5BP1	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
43126	16475	 7087	gefitinib	Compound	ZADH2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
43457	16475	 5666	gefitinib	Compound	PAPOLA	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
43836	16475	 7420	gefitinib	Compound	RGP1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
44025	16475	 8584	gefitinib	Compound	RGS4	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
44119	16475	 6801	gefitinib	Compound	ATG4B	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
44774	16475	 4862	gefitinib	Compound	PDGFA	mRNA	-1	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
44966	16475	17206	gefitinib	Compound	VBP1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
44992	16475	  775	gefitinib	Compound	MYO6	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
45042	16475	 7291	gefitinib	Compound	HLA-DOA	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
45076	16475	18755	gefitinib	Compound	TOP1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
45122	16475	 3424	gefitinib	Compound	PHLDA2	mRNA	0	-1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
45142	16475	 4880	gefitinib	Compound	VPS33B	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
45206	16475	18181	gefitinib	Compound	TUSC3	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
45563	16475	17588	gefitinib	Compound	PPIF	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 4622	16475	12438	gefitinib	Compound	TM2D3	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
46986	16475	 8580	gefitinib	Compound	TRAPPC8	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
47587	16475	 9766	gefitinib	Compound	MAPK8IP3	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
47617	16475	11030	gefitinib	Compound	CDK5R1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
49055	16475	20128	gefitinib	Compound	EPB41L4A	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
49057	16475	 9568	gefitinib	Compound	LARP4	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
49180	16475	13393	gefitinib	Compound	SHMT2	mRNA	0	-1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
 4940	16475	10424	gefitinib	Compound	JAG1	mRNA	0	-1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
49919	16475	10207	gefitinib	Compound	PKIB	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 5025	16475	11084	gefitinib	Compound	SCP2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
50309	16475	19526	gefitinib	Compound	COL4A1	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 5035	16475	11796	gefitinib	Compound	CPEB4	mRNA	-1	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 5043	16475	18002	gefitinib	Compound	PGM1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 5095	16475	14492	gefitinib	Compound	PCDHB5	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
51418	16475	  501	gefitinib	Compound	BCAT2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
51647	16475	  185	gefitinib	Compound	YKT6	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
51890	16475	19719	gefitinib	Compound	PBX2	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
51982	16475	 4253	gefitinib	Compound	BYSL	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
52158	16475	19073	gefitinib	Compound	DAB2	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 5250	16475	 5378	gefitinib	Compound	NME1	mRNA	0	-1	19529774	From our cDNA microarray experiments, we determined that a variety of nucleotide synthesis-related genes, including TS, were downregulated with lapatinib, and this was apparent in HER2-amplified cells (SNU216 gastric cancer cell line). Figure 2. Lapatinib downregulates fluoropyrimidine-target genes. The expressions of representative nucleotide synthesis-related genes [E2F-1, TS, TK1 (thymidine kinase 1), DHFR(dihydrofolate reductase), RRM2 (ribonucleotide reductase M2 polypeptide), DUT (DUTP pyrophosphatase), NME1 (nuclear diphosphate kinase 1)] were reduced as the result of gefitinib or lapatinib treatment in TKI-sensitive cells.
52881	16475	19485	gefitinib	Compound	CAPZA1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 5298	16475	  568	gefitinib	Compound	PSMC6	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
53567	16475	13775	gefitinib	Compound	HOXC10	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
54250	16475	 1312	gefitinib	Compound	KRT16	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
54352	16475	 1814	gefitinib	Compound	POU5F1	mRNA	-1	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
54538	16475	10710	gefitinib	Compound	MAPK9	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
54580	16475	14051	gefitinib	Compound	LTBP2	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
54641	16475	10480	gefitinib	Compound	LAMTOR1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
54895	16475	 2857	gefitinib	Compound	IKZF1	mRNA	0	-1	17638894	The BAM1A cell line was isolated from mammary of a transgenic mouse which overexpresses an active dominant mutant ERBB2/ HER2 and overexpresses ERBB3. These genes are from supplemental table 3 which are those genes changed after Gefitinib (Iressa).
55018	16475	 2179	gefitinib	Compound	AIG1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
55303	16475	10996	gefitinib	Compound	LEMD3	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
55584	16475	16323	gefitinib	Compound	BSG	mRNA	0	-1	14633669	The induction of EMMPRIN by AR was mediated by epidermal growth factor receptor (EGFR) tyrosine kinase activation and inhibited by ZD1839.
55842	16475	 3559	gefitinib	Compound	PNPLA2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
56176	16475	17528	gefitinib	Compound	HOPX	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
56349	16475	19283	gefitinib	Compound	GIMAP6	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
56601	16475	 5128	gefitinib	Compound	HOXD8	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 5704	16475	19701	gefitinib	Compound	PSMA4	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
57866	16475	 8535	gefitinib	Compound	TSSC1	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
58450	16475	 5816	gefitinib	Compound	STEAP2	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
58547	16475	 5851	gefitinib	Compound	ARF5	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
58549	16475	14765	gefitinib	Compound	C3orf39	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
58574	16475	 5626	gefitinib	Compound	CLDN1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
58604	16475	 5691	gefitinib	Compound	SNAPC5	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
58857	16475	 6524	gefitinib	Compound	EIF4A2	mRNA	0	1	17638894	The BAM1A cell line was isolated from mammary of a transgenic mouse which overexpresses an active dominant mutant ERBB2/ HER2 and overexpresses ERBB3. These genes are from supplemental table 3 which are those genes changed after Gefitinib (Iressa).
58991	16475	   37	gefitinib	Compound	HADHB	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
59295	16475	13313	gefitinib	Compound	BST2	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
59419	16475	 4082	gefitinib	Compound	PPT1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
59744	16475	13414	gefitinib	Compound	SERPINE1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
59903	16475	 8001	gefitinib	Compound	RAB10	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
60178	16475	10658	gefitinib	Compound	CCNC	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
60435	16475	 5024	gefitinib	Compound	CCL5	mRNA	0	1	16835747	normal T-cell expressed and secreted (RANTES) were elevated after gefitinib treatment.
60450	16475	15749	gefitinib	Compound	TBL2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
60565	16475	14758	gefitinib	Compound	SLC24A3	mRNA	0	1	19996456	Table S2: Transcriptional profiles of GTL16 and DiFi cells treated with PHA or gefitinib.Shown are the intensity values (IV) derived from Illumina microarrays (3 replicates/condition) following rank invariant normalization, fold change computations (LOG2R) and differential score (DS) analyses.
60966	16475	 2450	gefitinib	Compound	ITGA6	mRNA	-1	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 6113	16475	16922	gefitinib	Compound	RRM2	mRNA	0	-1	17638894	The BAM1A cell line was isolated from mammary of a transgenic mouse which overexpresses an active dominant mutant ERBB2/ HER2 and overexpresses ERBB3. These genes are from supplemental table 3 which are those genes changed after Gefitinib (Iressa).
61279	16475	17871	gefitinib	Compound	LRP6	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
62001	16475	11918	gefitinib	Compound	PSMD8	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
62028	16475	20054	gefitinib	Compound	MATR3	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
62190	16475	 3757	gefitinib	Compound	AGXT2L1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
62615	16475	 4925	gefitinib	Compound	IGFBP3	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
62656	16475	 2746	gefitinib	Compound	PRKRIR	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
63256	16475	 4411	gefitinib	Compound	VAPA	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
63620	16475	 5821	gefitinib	Compound	TP53INP2	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
63775	16475	13589	gefitinib	Compound	LRRC2	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
64263	16475	 2982	gefitinib	Compound	FUCA1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 6922	16475	 6366	gefitinib	Compound	MAP3K10	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7048	16475	 6241	gefitinib	Compound	DCAF13	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7091	16475	 7694	gefitinib	Compound	TEK	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7137	16475	14713	gefitinib	Compound	FOXA1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 7182	16475	13397	gefitinib	Compound	PTPN6	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7365	16475	13637	gefitinib	Compound	LYPLA1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7584	16475	 3863	gefitinib	Compound	ZBED5	mRNA	0	-1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 7930	16475	 2367	gefitinib	Compound	PCDHA12	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 7953	16475	 9734	gefitinib	Compound	ID4	mRNA	0	1	17638894	The BAM1A cell line was isolated from mammary of a transgenic mouse which overexpresses an active dominant mutant ERBB2/ HER2 and overexpresses ERBB3. These genes are from supplemental table 3 which are those genes changed after Gefitinib (Iressa).
 7970	16475	15068	gefitinib	Compound	FNDC3A	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
  879	16475	 8414	gefitinib	Compound	CCAR1	mRNA	0	1	16543231	reatments of cells with ERRP or Iressa (an EGFR tyrosine kinase inhibitor) results in elevated CARP-1 levels, whereas antisense-dependent depletion of CARP-1 causes inhibition of apoptosis by ERRP.
 8844	16475	19611	gefitinib	Compound	SKI	mRNA	0	1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 9488	16475	16113	gefitinib	Compound	CHMP3	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 9560	16475	13478	gefitinib	Compound	CCNH	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
 9658	16475	17696	gefitinib	Compound	FRAS1	mRNA	0	1	12792773	To identify genes that might be associated with sensitivity to this drug we used a cDNA microarray representing 23,040 genes to analyze expression profiles of the 13 xenografts and identified 114 genes whose expression levels correlated significantly with sensitivity of the tumors to ZD1839.
 9822	16475	13075	gefitinib	Compound	PRIM1	mRNA	0	-1	15475436	See table 6: Genes regulated by gefitinib or cetuximab in A431 cells and with fold change of at least 1.5.
13615	 6216	 1438	Sirolimus	Compound	VEGFA	mRNA	0	-1	15059936	p70S6K inhibitor rapamycin (RAPA) targets mesenchymal cells to shut down the sustained expression of vascular endothelial growth factor (VEGF) and hepatocyte growth factor (HGF), via silencing of the PDGFRalpha-p70S6K pathway
17304	 6216	16992	Sirolimus	Compound	SCD	mRNA	0	-1	18652687	Table 1: Genes responsive to PI3K, mTOR and p70S6K inhibitions in breast cancer cell lines.;MCF-7 breast cancer cell line, RPS6KB1-suppressed
